filename,language_code,transcription
common_voice_de_19679030.wav,de,te bowes an shofum disprit bo okan cnesitsismus
common_voice_de_19338015.wav,de,its vet in deese a cerlyode kinda dividende oscashited
common_voice_de_18789746.wav,de,the a vering this
common_voice_de_19310577.wav,de,the younglac clunganic
common_voice_de_19270320.wav,de,in tisam set home fon dia ouhies fhinon sminister
common_voice_de_19121020.wav,de,gunus teaps wurnamen tanafhlisit
common_voice_de_19371134.wav,de,as pasass an figts ivin em woto refenc resion formaloiali and fit jons katibe wontico was o be form tok
common_voice_de_17302512.wav,de,in hescoot scooa hikensteine art lags winish catin font uber devimonag too inclumatam
common_voice_de_19581354.wav,de,coup ou vite ad pish vesten
common_voice_de_19646554.wav,de,combidium on circonson bishbillefiust and competiblish bulon element in filling madmen
common_voice_de_18746045.wav,de,the cut es its strong beter umptis
common_voice_de_18785383.wav,de,the dame difeshandna the siteliis pesorman
common_voice_de_19794367.wav,de,a boe to manlitar or the traina in the inmajre liaues wer austive o kina ungerporter
common_voice_de_18792420.wav,de,the haven blouhed ish young one eslapi i
common_voice_de_19149889.wav,de,status an fingi n isitec wars stodiom and attetinashin halkshuleran clads and
common_voice_de_19404560.wav,de,the vison da n bon decopalipots wer sised to hokabout rer
common_voice_de_19697808.wav,de,redisitatikaden vandid in mysin bonislans whuche segomat
common_voice_de_18390546.wav,de,spazyland high schomit lavila of it ser cornicise is bartini
common_voice_de_19704078.wav,de,in ther barwat of isenside fometi vidyon benanum the vishof nises dranse is colddired bord and
common_voice_de_20000946.wav,de,mitted bi let's cenon the elected sail at som levantinesin a arbesh
common_voice_de_19805587.wav,de,mitar beras yo on fobesen is disportish nagia prser
common_voice_de_19702320.wav,de,a ka i asshuman on er asel les
common_voice_de_18926387.wav,de,dogmoctise cildimoclatishapati georgetans
common_voice_de_19997266.wav,de,the demine os then shirer howendering teleg
common_voice_de_19090255.wav,de,no malaways en naty machinemits fie hin
common_voice_de_19395339.wav,de,ded laghn hoenvision marger was es is mast and als fapupin
common_voice_de_17329297.wav,de,vevalivil artin deis e heden on lo hes pa platine
common_voice_de_20015849.wav,de,each datson needa ozel lek in iran ot can thestacciles
common_voice_de_19953892.wav,de,the e ded alhites unergiveusa
common_voice_de_18762841.wav,de,clues fleckers and phasintih aforga offon a blute egase
common_voice_de_18692058.wav,de,fer an ja nasha midvoindecation wal untlisen ason i gegan
common_voice_de_19146199.wav,de,indezatsavir ind mervon unsparion decanriar lona traftisn fracutid
common_voice_de_19593682.wav,de,ousten i mam ware to signd a bahuntem for nanciat her
common_voice_de_19806115.wav,de,thebed dociplana poecton distofine fahundrand modelles of an rislick at syk
common_voice_de_19551148.wav,de,anande tuttadi comdel hof pognon vidons of equiped one cahanfor
common_voice_de_19792281.wav,de,aman pikame deses of no hong sucu vobitin astellinou naghfight of fatsion
common_voice_de_19774243.wav,de,deforeasito would have a rerfond in constant italited
common_voice_de_18221472.wav,de,manteningagugana totnistodert tiscat
common_voice_de_19201355.wav,de,he begtive is yo on depondes there yere ear hoped cratia
common_voice_de_19388257.wav,de,other dang bauntain conduvedin note cleared ont owep browt a bedeened wen
common_voice_de_19368701.wav,de,alitontia beline is fire on to tonton wiserna
common_voice_de_17631610.wav,de,fast to wition outanacalis
common_voice_de_19782285.wav,de,ther bucuf fit gelenglyy for hamlaws and order arornish capalt
common_voice_de_17658141.wav,de,bushfar in if fi heate
common_voice_de_19551042.wav,de,fier dis a shoton fintmas inanatral
common_voice_de_18562277.wav,de,bruinetom eler
common_voice_de_17410556.wav,de,keeps fyyahum asmond haviny sefer inet
common_voice_de_19757716.wav,de,he forcare won di not tet alition of sovel martish
common_voice_de_17331770.wav,de,a lectricia fence the hebout sometin onwa venty cernon anist
common_voice_de_18212486.wav,de,sustatta wish
common_voice_de_17300644.wav,de,nusual ar fomon ins alov atana as conten
common_voice_de_18193964.wav,de,the votatcion fron gardian inpelidan betect tits norit
common_voice_de_17333733.wav,de,man infect tormatsamonen our sushlisen surchaman ir se nut lang commonasem
common_voice_de_19604898.wav,de,a lit til abite tin the i
common_voice_de_19862703.wav,de,then wood mathnommitovn ti gibilas ton the own veltalicyat
common_voice_de_19391961.wav,de,a pafte estovoyched antond anzian
common_voice_de_19690251.wav,de,daghters moderate and anchefont utha pen dragon went damit athurs neffer
common_voice_de_17799780.wav,de,wis spopel anos tatle dalimik
common_voice_de_18436767.wav,de,there asutan had hightel was t shiked byis ofin
common_voice_de_19248406.wav,de,the ofpen seech pila riman becandes poo parshten by far ef elrine
common_voice_de_19727968.wav,de,the archaic entile descloses toisa
common_voice_de_19845393.wav,de,the fals dispowm s with as lutshols ferended
common_voice_de_19007610.wav,de,udi alspodsitens vor copson otacon lafarbet
common_voice_de_18212183.wav,de,house of gallars ar neatif pysits this fault
common_voice_de_19784788.wav,de,in the wite is the ushpoin ish fize shifigure capala hoten onohindshefish
common_voice_de_19167162.wav,de,o vilant is the shorte ubia tecove metting os on
