filename,language_code,transcription
common_voice_es_19747544.wav,es,is thouleserolal is tarioso radanos partos nos passy
common_voice_es_19745636.wav,es,i lad nasiescasta in garalsity forida
common_voice_es_18452304.wav,es,gecon the tengomilum metankles
common_voice_es_19801099.wav,es,a us tineroni ho unite
common_voice_es_20009599.wav,es,wostaron the wodown adble menabo tiron
common_voice_es_19664500.wav,es,acamlina mastopesol ison
common_voice_es_18311242.wav,es,gilforo prosa he a comon tis
common_voice_es_19744498.wav,es,isimi mina indelobina nam do clalmatry monio
common_voice_es_19682295.wav,es,whega commodcato insadeoise ki jota de laprimade a palte chili
common_voice_es_19620082.wav,es,put chane gwintan in asica oisted it amidum
common_voice_es_19129490.wav,es,bancoroft the seantos a commonserentr aholiterady of ceralaticabila sell al sorrapiament asin interruptsium
common_voice_es_19765147.wav,es,in this guda maniona bocasl a eablica in ascanina
common_voice_es_19184203.wav,es,histalphoda university placs
common_voice_es_19638380.wav,es,an the iscondel of ingloo polivicin of sesaco
common_voice_es_18338586.wav,es,bamos killeciri kin oso licie a satisianis
common_voice_es_19952842.wav,es,subba is ta e don in in tilipasimali e the naa
common_voice_es_19640885.wav,es,lamiya goenta conocomplete holy porty wopre barer une scool a impesed ofpolitia
common_voice_es_19608367.wav,es,labilicularaciy or a sengas intermikes the sanilative a port parto like lisite
common_voice_es_19698390.wav,es,asonol del of mass important is colla waralorisa lopomediatrico independiant is ceticommanications
common_voice_es_19628249.wav,es,mondorn gromantele bliquol acon invalading attotalacia
common_voice_es_19574737.wav,es,others extaurence wereaalors and sh oya eactencon
common_voice_es_19140694.wav,es,contolo larre lasyoun ilio matica seconsideed a corrobodela
common_voice_es_19639718.wav,es,a ter ment pill a foromoriinar teforing nothen avernasion conet sutuda it istented
common_voice_es_19665766.wav,es,and bagninao eana companier his ut linded penefiy tone
common_voice_es_20065734.wav,es,eling is laveminan the egois tarmanomar yorebec
common_voice_es_19766596.wav,es,he motmotrosenali derepin dimen
