filename,language_code,transcription
common_voice_ru_19433447.wav,ru,musmim stonashineprisfilat of jacterana buse crechinea
common_voice_ru_18924096.wav,ru,nasuadilegate hepris nihtenas a pritertablumem was mortnis to ches to with which i planer
common_voice_ru_19536134.wav,ru,doble sadut was sucsuushly in the people wit nuw shapesican pas mi
common_voice_ru_20026470.wav,ru,governor posume cifely givered submes nens pesoni mas sevbark ewarsin anjurige s
common_voice_ru_19417216.wav,ru,msie wouldn a belipaly been gaging nuws nigt
common_voice_ru_19840627.wav,ru,gagubagos abotion potosation havecirinaseliam
common_voice_ru_18853975.wav,ru,it o the polintotialy ners do noronivoyanomasky sevadence comsalevi e prelegrat wat
common_voice_ru_19826618.wav,ru,shatu ansis is to menti cadovemoetd pamoch ti the trashing itagive sitots
common_voice_ru_18951595.wav,ru,i min tho itslersly heod active
common_voice_ru_18896652.wav,ru,to pereoble istoli s low is stave rasis cofidenal
common_voice_ru_19288545.wav,ru,nearwician imarsquir brava
common_voice_ru_19341464.wav,ru,a foble of the brinin of as wos e petescat coverani secitry afpe sopis to po po some es reaches tam ugavrega
common_voice_ru_19527959.wav,ru,i'm not an u colimasertion o theaceholy gegeronis stort aterelage is potanium mituaies
common_voice_ru_19020602.wav,ru,he brandom reapred ligi was trige ovad to gas pat ino argenikives he
common_voice_ru_19791773.wav,ru,chetnabel scavarianistala problem attolcalagrain an belarosi recy
common_voice_ru_18875394.wav,ru,licope mitureus sortmon aviatky cimura shol wikino niterareus
common_voice_ru_19271740.wav,ru,scotte topolosto not collabal crom connotion lagtional especialasen
common_voice_ru_19019630.wav,ru,yetdo morstetorchinwarsn
common_voice_ru_18920603.wav,ru,on janes tetive is in evoids istery propole
common_voice_ru_18882348.wav,ru,greaseis someli ulates uprablimmica to regineas animitive tichinium mogiclyat
common_voice_ru_19574612.wav,ru,yet thereestition the communte if no only ovas knomachidutesas a wishions to sherusugas hil ageanter
common_voice_ru_19353052.wav,ru,evming the goesmet a go wat withs pasob tato criplin ner te gan and nowing was oner old nowing e ray bis e pastit
common_voice_ru_19825476.wav,ru,she won ere renow movimen acoli tuatres isty
common_voice_ru_19195605.wav,ru,conflete ser dorsin which welgoluran merely misestin
common_voice_ru_20026557.wav,ru,nunmother pulish iti ditimnus with sti bitines ef icinisteritom
common_voice_ru_19027342.wav,ru,inser the pustibloring or donivero storm
common_voice_ru_18879105.wav,ru,turest wopsha jetis in perpoite wat tar islipodomat mos mers obsta teniste
common_voice_ru_19341497.wav,ru,to edisto althre of for labring wishes old
common_voice_ru_19478231.wav,ru,you gostationaze is thisiness overil gils emocratorinamenous neverisium
common_voice_ru_19838083.wav,ru,asterleves to point by derhcoinir sani pref hes somotly wisconawd
common_voice_ru_20185769.wav,ru,sports possibile probably thad nideal do tam begurancious rih to aval admotal cachenia
common_voice_ru_18922879.wav,ru,butly neashes misec topras cetilivargionis a wicteslasanis of cenispanum
common_voice_ru_18862840.wav,ru,one as estay ot sivocinidal
common_voice_ru_19103384.wav,ru,gosoannoveracerislui we crois parturyan idistrie
common_voice_ru_19156672.wav,ru,wi should i am sto confiderince eperosotrgerine astares an el shep ar shelkilypety gobore of patacominster minto
common_voice_ru_18987328.wav,ru,the kimobersm paminiprancy weravlo consensavatos low metacinam logastabonisty
common_voice_ru_19478149.wav,ru,sivrolnisidat saming ers
common_voice_ru_18892762.wav,ru,tribinicalar granthir
common_voice_ru_19142494.wav,ru,the gamihanes minimo wol simi besibility gelly roviteros an aglass m is regus udur stimy
common_voice_ru_19111581.wav,ru,hessiscifidura salyvlat discetrinium
common_voice_ru_19818726.wav,ru,nisutoplock i nee even ot
common_voice_ru_19157170.wav,ru,nothotiat nita rishitil maneat
common_voice_ru_19283712.wav,ru,crimtawa an ocean led  will proen a reling erasviti
common_voice_ru_19145783.wav,ru,because itsapis nihe to camising a proe ovos ougartics an inen adest
common_voice_ru_19288475.wav,ru,she wore no mashni torbet of se checuris teea warives in e polacityni hin devidia
common_voice_ru_19575405.wav,ru,you point us poges sos ten yetimen po enserv
common_voice_ru_19112245.wav,ru,tratsanitur thepreviation adeu pedition is a feniin sta tutov cotoriafictilo socialyno proch
common_voice_ru_18921799.wav,ru,perstificiegis garestostol
common_voice_ru_19797233.wav,ru,tipil ettertregum shitide stony wirhis carred blonc no beast or substana a noroter
common_voice_ru_18937258.wav,ru,for of yooap clemiat benmaliged onitiar ocensocief men
common_voice_ru_19535369.wav,ru,lesister  lowmoitovci wol lay manioros withe stom
common_voice_ru_19028628.wav,ru,ones net wagof media corominis cover ollofnaras viti inciaty
common_voice_ru_19152335.wav,ru,stich azini creathures move bocause i ste many teveshe bish nomers cot of miledevran
common_voice_ru_19316573.wav,ru,birtmocalotas tos to brain if dela bullof theturinots
common_voice_ru_19827443.wav,ru,if you oge eteductal teamis tamast obstinam magiicoitiresar set edit sem awhichin
common_voice_ru_18893064.wav,ru,willawirison a mogeswas naturons later
common_voice_ru_19535407.wav,ru,tarical nomireminy eli shitilitinatario widishkis nevar
